Start Time,End Time,Location,Host Team,Guest Team
19:12:55,19:38:50,Polideportivo Entremontes,Salvador Rueda ,Opponent
,,,,
Note: xyz coordinates are in meters.,,,,
X is positive to the right of the camera,,,,
Y is positive towards the opposite side of the net,,,,
Z is positive up out of the court,,,,
